Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10823","CVE-2001-0872","7.2","High","192.168.1.24","tcp","22","OpenSSH < 3.0.2 Multiple Vulnerabilities","The SSH service running on the remote host has multiple
vulnerabilities.","You are running a version of OpenSSH which is older than 3.0.2.
Versions prior than 3.0.2 have the following vulnerabilities :

  - When the UseLogin feature is enabled, a local user
    could export environment variables, resulting in
    command execution as root.  The UseLogin feature is
    disabled by default. (CVE-2001-0872)

  - A local information disclosure vulnerability.
    Only FreeBSD hosts are affected by this issue.
    (CVE-2001-1029)","Upgrade to OpenSSH 3.0.2 or apply the patch for prior
versions. (Available at: ftp://ftp.openbsd.org/pub/OpenBSD/OpenSSH)","https://seclists.org/bugtraq/2001/Sep/208
https://www.freebsd.org/releases/4.4R/errata.html
http://www.nessus.org/u?f85ed76c","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.0.2
"
"10823","CVE-2001-1029","7.2","High","192.168.1.24","tcp","22","OpenSSH < 3.0.2 Multiple Vulnerabilities","The SSH service running on the remote host has multiple
vulnerabilities.","You are running a version of OpenSSH which is older than 3.0.2.
Versions prior than 3.0.2 have the following vulnerabilities :

  - When the UseLogin feature is enabled, a local user
    could export environment variables, resulting in
    command execution as root.  The UseLogin feature is
    disabled by default. (CVE-2001-0872)

  - A local information disclosure vulnerability.
    Only FreeBSD hosts are affected by this issue.
    (CVE-2001-1029)","Upgrade to OpenSSH 3.0.2 or apply the patch for prior
versions. (Available at: ftp://ftp.openbsd.org/pub/OpenBSD/OpenSSH)","https://seclists.org/bugtraq/2001/Sep/208
https://www.freebsd.org/releases/4.4R/errata.html
http://www.nessus.org/u?f85ed76c","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.0.2
"
"10881","","","None","192.168.1.24","tcp","22","SSH Protocol Versions Supported","A SSH server is running on the remote host.","This plugin determines the versions of the SSH protocol supported by
the remote SSH daemon.","n/a","","The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.33
  - 1.5
  - 1.99
  - 2.0


SSHv1 host key fingerprint : b8:74:6c:db:fd:8b:e6:66:e9:2a:2b:df:5e:6f:64:86
"
"10882","CVE-2001-0361","7.5","High","192.168.1.24","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"10882","CVE-2001-0572","7.5","High","192.168.1.24","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"10882","CVE-2001-1473","7.5","High","192.168.1.24","tcp","22","SSH Protocol Version 1 Session Key Retrieval","The remote service offers an insecure cryptographic protocol.","The remote SSH daemon supports connections made using the version 1.33
and/or 1.5 of the SSH protocol. 

These protocols are not completely cryptographically safe so they
should not be used.","Disable compatibility with version 1 of the SSH protocol.","",""
"10883","CVE-2002-0083","10.0","Critical","192.168.1.24","tcp","22","OpenSSH < 3.1 Channel Code Off by One Remote Privilege Escalation","Arbitrary code may be run on the remote host.","You are running a version of OpenSSH which is older than 3.1.

Versions prior than 3.1 are vulnerable to an off by one error
that allows local users to gain root access, and it may be
possible for remote users to similarly compromise the daemon
for remote access.

In addition, a vulnerable SSH client may be compromised by
connecting to a malicious SSH daemon that exploits this
vulnerability in the client code, thus compromising the
client system.","Upgrade to OpenSSH 3.1 or apply the patch for
prior versions. (See: http://www.openssh.org)","","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.1p1
"
"10954","CVE-2002-0575","7.5","High","192.168.1.24","tcp","22","OpenSSH Kerberos TGT/AFS Token Passing Remote Overflow","Arbitrary code may be run on the remote host.","You are running a version of OpenSSH older than OpenSSH 3.2.1.

A buffer overflow exists in the daemon if AFS is enabled on
your system, or if the options KerberosTgtPassing or
AFSTokenPassing are enabled.  Even in this scenario, the
vulnerability may be avoided by enabling UsePrivilegeSeparation.

Versions prior to 2.9.9 are vulnerable to a remote root
exploit. Versions prior to 3.2.1 are vulnerable to a local
root exploit.","Upgrade to version 3.2.1 or later.","","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.2.1
"
"11011","","","None","192.168.1.24","tcp","139","Microsoft Windows SMB Service Detection","A file / print sharing service is listening on the remote host.","The remote service understands the CIFS (Common Internet File System)
or Server Message Block (SMB) protocol, used to provide shared access
to files, printers, etc between nodes on a network.","n/a","","
An SMB server is running on this port.
"
"11030","CVE-2002-0392","7.5","High","192.168.1.24","tcp","80","Apache Chunked Encoding Remote Overflow","The remote web server is vulnerable to a remote code execution attack.","The remote Apache web server is affected by the Apache web server
chunk handling vulnerability. 

If safe checks are enabled, this may be a false positive since it is
based on the version of Apache. Although unpatched Apache versions
1.2.2 and above, 1.3 through 1.3.24, and 2.0 through 2.0.36 are
affected, the remote server may be running a patched version of
Apache.","Upgrade to Apache web server version 1.3.26 / 2.0.39 or later.","http://httpd.apache.org/info/security_bulletin_20020617.txt
http://httpd.apache.org/info/security_bulletin_20020620.txt",""
"11031","CVE-2002-0639","10.0","Critical","192.168.1.24","tcp","22","OpenSSH < 3.4 Multiple Remote Overflows","The remote host has an application that is affected multiple
vulnerabilities.","According to its banner, the remote host appears to be 
running OpenSSH version 3.4 or older. Such versions are 
reportedly affected by multiple flaws. An attacker may 
exploit these vulnerabilities to gain a shell on the remote 
system.

Note that several distributions patched this hole without 
changing the version number of OpenSSH. Since Nessus solely 
relied on the banner of the remote SSH server to perform this 
check, this might be a false positive.

If you are running a RedHat host, make sure that the command :
          rpm -q openssh-server
	  
Returns :
	openssh-server-3.1p1-6","Upgrade to OpenSSH 3.4 or contact your vendor for a patch.","http://www.openssh.com/txt/preauth.adv","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.4
"
"11031","CVE-2002-0640","10.0","Critical","192.168.1.24","tcp","22","OpenSSH < 3.4 Multiple Remote Overflows","The remote host has an application that is affected multiple
vulnerabilities.","According to its banner, the remote host appears to be 
running OpenSSH version 3.4 or older. Such versions are 
reportedly affected by multiple flaws. An attacker may 
exploit these vulnerabilities to gain a shell on the remote 
system.

Note that several distributions patched this hole without 
changing the version number of OpenSSH. Since Nessus solely 
relied on the banner of the remote SSH server to perform this 
check, this might be a false positive.

If you are running a RedHat host, make sure that the command :
          rpm -q openssh-server
	  
Returns :
	openssh-server-3.1p1-6","Upgrade to OpenSSH 3.4 or contact your vendor for a patch.","http://www.openssh.com/txt/preauth.adv","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.4
"
"11111","","","None","192.168.1.24","tcp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.1.24","tcp","1024","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on TCP port 1024 :

 - program: 100024 (status), version: 1
"
"11111","","","None","192.168.1.24","udp","111","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 2
"
"11111","","","None","192.168.1.24","udp","1027","RPC Services Enumeration","An ONC RPC service is running on the remote host.","By sending a DUMP request to the portmapper, it was possible to
enumerate the ONC RPC services running on the remote port.  Using this
information, it is possible to connect and bind to each service by
sending an RPC request to the remote port.","n/a","","
The following RPC services are available on UDP port 1027 :

 - program: 100024 (status), version: 1
"
"11137","CVE-2002-0839","7.5","High","192.168.1.24","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
"
"11137","CVE-2002-0840","7.5","High","192.168.1.24","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
"
"11137","CVE-2002-0843","7.5","High","192.168.1.24","tcp","80","Apache < 1.3.27 Multiple Vulnerabilities (DoS, XSS)","The remote web server is affected by multiple vulnerabilities.","The remote host is running a version of Apache web server prior to
1.3.27. It is, therefore, affected by multiple vulnerabilities :

  - There is a cross-site scripting vulnerability caused by
    a failure to filter HTTP/1.1 'Host' headers that are
    sent by browsers.

  - A vulnerability in the handling of the Apache scorecard
    could allow an attacker to cause a denial of service.

  - A buffer overflow vulnerability exists in the
    'support/ab.c' read_connection() function. The ab.c file
    is a benchmarking support utility that is provided with
    the Apache web server.","Upgrade to Apache web server version 1.3.27 or later.","https://seclists.org/bugtraq/2002/Oct/199
http://www.nessus.org/u?767573c2
https://seclists.org/bugtraq/2002/Nov/163
http://www.nessus.org/u?e06ce83b","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.27
"
"11213","CVE-2003-1567","5.0","Medium","192.168.1.24","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods. TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these HTTP methods. Refer to the plugin output for more information.","http://www.nessus.org/u?e979b5cb
http://www.apacheweek.com/issues/03-01-24
https://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : \n\n------------------------------ snip ------------------------------\nTRACE /Nessus1678733193.html HTTP/1.1
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------\n\nand received the following response from the remote server :\n\n------------------------------ snip ------------------------------\nHTTP/1.1 200 OK
Date: Sat, 18 Oct 2025 12:11:40 GMT
Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
Connection: close
Transfer-Encoding: chunked
Content-Type: message/http

TRACE /Nessus1678733193.html HTTP/1.1
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Charset: iso-8859-1,*,utf-8
Accept-Language: en
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)

------------------------------ snip ------------------------------\n"
"11213","CVE-2004-2320","5.0","Medium","192.168.1.24","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods. TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these HTTP methods. Refer to the plugin output for more information.","http://www.nessus.org/u?e979b5cb
http://www.apacheweek.com/issues/03-01-24
https://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : \n\n------------------------------ snip ------------------------------\nTRACE /Nessus1678733193.html HTTP/1.1
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------\n\nand received the following response from the remote server :\n\n------------------------------ snip ------------------------------\nHTTP/1.1 200 OK
Date: Sat, 18 Oct 2025 12:11:40 GMT
Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
Connection: close
Transfer-Encoding: chunked
Content-Type: message/http

TRACE /Nessus1678733193.html HTTP/1.1
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Charset: iso-8859-1,*,utf-8
Accept-Language: en
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)

------------------------------ snip ------------------------------\n"
"11213","CVE-2010-0386","5.0","Medium","192.168.1.24","tcp","80","HTTP TRACE / TRACK Methods Allowed","Debugging functions are enabled on the remote web server.","The remote web server supports the TRACE and/or TRACK methods. TRACE
and TRACK are HTTP methods that are used to debug web server
connections.","Disable these HTTP methods. Refer to the plugin output for more information.","http://www.nessus.org/u?e979b5cb
http://www.apacheweek.com/issues/03-01-24
https://download.oracle.com/sunalerts/1000718.1.html","
To disable these methods, add the following lines for each virtual
host in your configuration file :

    RewriteEngine on
    RewriteCond %{REQUEST_METHOD} ^(TRACE|TRACK)
    RewriteRule .* - [F]

Alternatively, note that Apache versions 1.3.34, 2.0.55, and 2.2
support disabling the TRACE method natively via the 'TraceEnable'
directive.

Nessus sent the following TRACE request : \n\n------------------------------ snip ------------------------------\nTRACE /Nessus1678733193.html HTTP/1.1
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Language: en
Accept-Charset: iso-8859-1,*,utf-8

------------------------------ snip ------------------------------\n\nand received the following response from the remote server :\n\n------------------------------ snip ------------------------------\nHTTP/1.1 200 OK
Date: Sat, 18 Oct 2025 12:11:40 GMT
Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
Connection: close
Transfer-Encoding: chunked
Content-Type: message/http

TRACE /Nessus1678733193.html HTTP/1.1
Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, image/png, */*
Accept-Charset: iso-8859-1,*,utf-8
Accept-Language: en
Connection: Close
Host: 192.168.1.24
Pragma: no-cache
User-Agent: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)

------------------------------ snip ------------------------------\n"
"11267","CVE-2003-0078","4.3","Medium","192.168.1.24","tcp","443","OpenSSL < 0.9.6j / 0.9.7b Multiple Vulnerabilities","The remote host has an application that is affected by
multiple vulnerabilities.","According to its banner, the remote host is using a version
of OpenSSL older than 0.9.6j or 0.9.7b.

This version is vulnerable to a timing-based attack that could
allow an attacker to guess the content of fixed data blocks and
may eventually be able to guess the value of the private RSA key
of the server.

An attacker may use this implementation flaw to sniff the
data going to this host and decrypt some parts of it, as well
as impersonate the server and perform man-in-the-middle attacks.","Upgrade to version 0.9.6j (0.9.7b) or newer.","https://www.openssl.org/news/secadv/20030219.txt
http://eprint.iacr.org/2003/052/",""
"11267","CVE-2003-0131","4.3","Medium","192.168.1.24","tcp","443","OpenSSL < 0.9.6j / 0.9.7b Multiple Vulnerabilities","The remote host has an application that is affected by
multiple vulnerabilities.","According to its banner, the remote host is using a version
of OpenSSL older than 0.9.6j or 0.9.7b.

This version is vulnerable to a timing-based attack that could
allow an attacker to guess the content of fixed data blocks and
may eventually be able to guess the value of the private RSA key
of the server.

An attacker may use this implementation flaw to sniff the
data going to this host and decrypt some parts of it, as well
as impersonate the server and perform man-in-the-middle attacks.","Upgrade to version 0.9.6j (0.9.7b) or newer.","https://www.openssl.org/news/secadv/20030219.txt
http://eprint.iacr.org/2003/052/",""
"11267","CVE-2003-0147","4.3","Medium","192.168.1.24","tcp","443","OpenSSL < 0.9.6j / 0.9.7b Multiple Vulnerabilities","The remote host has an application that is affected by
multiple vulnerabilities.","According to its banner, the remote host is using a version
of OpenSSL older than 0.9.6j or 0.9.7b.

This version is vulnerable to a timing-based attack that could
allow an attacker to guess the content of fixed data blocks and
may eventually be able to guess the value of the private RSA key
of the server.

An attacker may use this implementation flaw to sniff the
data going to this host and decrypt some parts of it, as well
as impersonate the server and perform man-in-the-middle attacks.","Upgrade to version 0.9.6j (0.9.7b) or newer.","https://www.openssl.org/news/secadv/20030219.txt
http://eprint.iacr.org/2003/052/",""
"11422","","","None","192.168.1.24","tcp","80","Web Server Unconfigured - Default Install Page Present","The remote web server is not configured or is improperly configured.","The remote web server uses its default welcome page. Therefore, it's
probable that this server is not used at all or is serving content
that is meant to be hidden.","Disable this service if you do not use it.","","
The default welcome page is from Apache.
"
"11712","CVE-2003-0386","7.5","High","192.168.1.24","tcp","22","OpenSSH < 3.6.2 Reverse DNS Lookup Bypass","The remote host has an application that is affected by DNS
lookup bypass vulnerability.","According to its banner, the remote host appears to be running
OpenSSH-portable version 3.6.1 or older.

There is a flaw in such version that could allow an attacker to
bypass the access controls set by the administrator of this server.

OpenSSH features a mechanism that can restrict the list of
hosts a given user can log from by specifying a pattern
in the user key file (ie: *.mynetwork.com would let a user
connect only from the local network).

However there is a flaw in the way OpenSSH does reverse DNS lookups.
If an attacker configures a DNS server to send a numeric IP address
when a reverse lookup is performed, this mechanism could be
circumvented.","Upgrade to OpenSSH 3.6.2 or later.","","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.6.2
"
"11793","CVE-2003-0460","7.1","Critical","192.168.1.24","tcp","80","Apache < 1.3.28 Multiple Vulnerabilities (DoS, ID)","The remote web server is affected by multiple vulnerabilities.","The remote host appears to be running a version of
Apache which is older than 1.3.28

There are several flaws in this version, including a denial of service
in redirect handling, a denial of service with control character 
handling in the 'rotatelogs' utility and a file descriptor leak in 
third-party module handling.

*** Note that Nessus solely relied on the version number
*** of the remote server to issue this warning. This might
*** be a false positive","Upgrade to version 1.3.28","http://www.apache.org/dist/httpd/Announcement.html","
  Version source    : Server: Apache/1.3.20 (Unix)  (Red-Hat/Linux) mod_ssl/2.8.4 OpenSSL/0.9.6b
  Installed version : 1.3.20
  Fixed version     : 1.3.28
"
"11837","CVE-2003-0682","10.0","Critical","192.168.1.24","tcp","22","OpenSSH < 3.7.1 Multiple Vulnerabilities","The remote SSH service is affected by various memory bugs.","According to its banner, the remote SSH server is running a version of
OpenSSH older than 3.7.1.  Such versions are vulnerable to a flaw in
the buffer management functions that might allow an attacker to
execute arbitrary commands on this host.

An exploit for this issue is rumored to exist.

Note that several distributions patched this hole without changing the
version number of OpenSSH.  Since Nessus solely relied on the banner
of the remote SSH server to perform this check, this might be a false
positive. 

If you are running a RedHat host, make sure that the command :

  rpm -q openssh-server

returns :

  openssh-server-3.1p1-13 (RedHat 7.x)
  openssh-server-3.4p1-7  (RedHat 8.0)
  openssh-server-3.5p1-11 (RedHat 9)","Upgrade to OpenSSH 3.7.1 or later.","https://marc.info/?l=openbsd-misc&m=106375452423794&w=2
https://marc.info/?l=openbsd-misc&m=106375456923804&w=2","
  Version source    : SSH-1.99-OpenSSH_2.9p2
  Installed version : 2.9p2
  Fixed version     : 3.7.1
"
